"eco_values","species","latitude","longitude","date_obs","source","occurrence_id","tmax_mean_c","prec_mean_annual","current_july_temp_c","future_july_2050_c","july_temp_change_c","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","NDVI"
5,"Ursus arctos",51.307867,-116.127846,2025-05-19,"gbif",53,-1.11153846153843,70,7.95000000000005,10.95,3,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2442,0.0738
5,"Ursus arctos",51.590193,-116.107071,2025-05-18,"gbif",86,-2.2961538461538,57.5,6.65000000000003,9.65000000000003,3,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2399,-3e-04
5,"Ursus arctos",52.933467,-118.178586,2026-05-25,"gbif",37,-1.46538461538455,62.5,6.95000000000005,9.85000000000002,2.89999999999998,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2234,0.0399
5,"Ursus arctos",52.933467,-118.178586,2026-05-25,"gbif",218,-1.46538461538455,62.5,6.95000000000005,9.85000000000002,2.89999999999998,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2234,0.0399
5,"Ursus arctos horribilis",50.9006407177,-115.822374542,2025-10-09,"inat",178,-0.865384615384585,62,7.95000000000005,11.05,3.09999999999997,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2297,0.1559
5,"Ursus maritimus",59.0689063954,-63.8200622522,2025-09-26,"inat",317,-7.30384615384611,61.5,9.55000000000001,10.2500000000001,0.700000000000045,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",394,-0.0549
5,"Ursus arctos",51.307867,-116.127846,2025-05-19,"gbif",234,-1.11153846153843,70,7.95000000000005,10.95,3,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2442,0.0738
5,"Ursus arctos",52.948575,-118.149282,2025-05-18,"gbif",72,-1.31923076923078,56.5,7.05000000000001,9.95000000000005,2.90000000000003,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2163,0.5517
5,"Ursus arctos",64.308084,-138.242461,2025-05-24,"gbif",248,-5.58846153846156,25,8.95000000000005,11.65,2.69999999999999,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",1664,-0.0239
5,"Ursus arctos horribilis",52.9334669421,-118.1785859951,2026-05-25,"inat",150,-1.46538461538455,62.5,6.95000000000005,9.85000000000002,2.89999999999998,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2234,0.0399
5,"Ursus arctos",64.308084,-138.242461,2025-05-24,"gbif",67,-5.58846153846156,25,8.95000000000005,11.65,2.69999999999999,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",1664,-0.0239
5,"Ursus arctos",52.948575,-118.149282,2025-05-18,"gbif",253,-1.31923076923078,56.5,7.05000000000001,9.95000000000005,2.90000000000003,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2163,0.5517
5,"Ursus arctos",51.590193,-116.107071,2025-05-18,"gbif",267,-2.2961538461538,57.5,6.65000000000003,9.65000000000003,3,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2399,-3e-04
5,"Ursus arctos horribilis",52.8097108739,-118.1692679437,2026-06-08,"inat",113,-2.84230769230766,72.5,5.85000000000002,8.85000000000002,3,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2315,-0.0248
5,"Ursus maritimus",59.0722774964,-63.8355863389,2025-09-26,"inat",316,-7.36538461538464,60,9.65000000000003,10.35,0.699999999999989,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",414,0.106
5,"Ursus arctos horribilis",50.8493944925,-115.0030793924,2026-06-09,"inat",110,-0.0653846153845734,67,7.45000000000005,10.55,3.09999999999997,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2360,0.1693
5,"Ursus arctos horribilis",52.2828462461,-117.3594878904,2026-06-10,"inat",106,-3.45769230769224,105.5,6.55000000000001,9.55000000000001,3,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2150,0.0365
6,"Ursus arctos",52.210716,-117.379645,2025-05-10,"gbif",90,-7.32692307692298,121.5,2.75000000000006,5.75000000000006,3,"Polar","Moist","Snow and Ice","Mountains","Polar Moist",255,255,255,"Polar Moist Snow and Ice on Mountains","#FFFFFF",2815,-0.0065
6,"Ursus arctos",52.210716,-117.379645,2025-05-10,"gbif",271,-7.32692307692298,121.5,2.75000000000006,5.75000000000006,3,"Polar","Moist","Snow and Ice","Mountains","Polar Moist",255,255,255,"Polar Moist Snow and Ice on Mountains","#FFFFFF",2815,-0.0065
10,"Ursus maritimus",72.0599456562,-94.7516800429,2024-08-20,"inat",93,-13.8807692307692,10,6.65000000000003,8.45000000000005,1.80000000000001,"Polar","Moist","Sparsely or Non vegetated","Tablelands","Polar Moist",111,133,202,"Polar Moist Sparsely or Non vegetated on Tablelands","#6F85CA",210,-0.0304
10,"Ursus maritimus",62.9294894679,-82.0740857783,2009-07-19,"inat",286,-9.06538461538457,9,5.75000000000006,7.25000000000006,1.5,"Polar","Moist","Sparsely or Non vegetated","Tablelands","Polar Moist",111,133,202,"Polar Moist Sparsely or Non vegetated on Tablelands","#6F85CA",86,-0.0303
10,"Ursus maritimus",72.0599456562,-94.7516800429,2024-08-20,"inat",272,-13.8807692307692,10,6.65000000000003,8.45000000000005,1.80000000000001,"Polar","Moist","Sparsely or Non vegetated","Tablelands","Polar Moist",111,133,202,"Polar Moist Sparsely or Non vegetated on Tablelands","#6F85CA",210,-0.0304
17,"Ursus arctos",61.1036053625,-136.8047295461,2026-06-07,"inat",120,-3.56538461538457,17,8.55000000000001,11.45,2.90000000000003,"Polar","Dry","Grassland","Mountains","Polar Dry",203,184,154,"Polar Dry Grassland on Mountains","#CBB89A",1628,-0.023
18,"Ursus arctos",60.2936188458,-136.0608653634,2026-05-19,"inat",167,-3.1653846153846,43.5,8.15000000000003,11.05,2.89999999999998,"Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",1700,-0.0106
18,"Ursus arctos horribilis",52.8092793558,-118.1434052947,2026-06-09,"inat",104,-1.41923076923075,63,7.25000000000006,10.2500000000001,3,"Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2244,0.3739
18,"Ursus arctos",51.254954,-116.087928,2025-05-26,"gbif",257,-0.696153846153834,68.5,8.35000000000002,11.35,3,"Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2199,0.1367
18,"Ursus arctos",51.254954,-116.087928,2025-05-26,"gbif",76,-0.696153846153834,68.5,8.35000000000002,11.35,3,"Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2199,0.1367
18,"Ursus arctos horribilis",60.9742341396,-138.4451733251,2026-06-09,"inat",91,-5.38846153846146,28.5,6.85000000000002,9.05000000000001,2.19999999999999,"Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",1426,0.0227
29,"Ursus arctos",52.906284,-117.750744,2025-05-28,"gbif",79,-0.242307692307634,40.5,8.25000000000006,11.15,2.89999999999998,"Polar","Moist","Forest","Mountains","Polar Moist",107,103,74,"Polar Moist Forest on Mountains","#6B674A",1755,0.0415
29,"Ursus arctos",52.906284,-117.750744,2025-05-28,"gbif",260,-0.242307692307634,40.5,8.25000000000006,11.15,2.89999999999998,"Polar","Moist","Forest","Mountains","Polar Moist",107,103,74,"Polar Moist Forest on Mountains","#6B674A",1755,0.0415
29,"Ursus arctos horribilis",51.5509326017,-116.2161208108,1990-06-24,"inat",140,-1.12692307692299,78,7.95000000000005,10.95,3,"Polar","Moist","Forest","Mountains","Polar Moist",107,103,74,"Polar Moist Forest on Mountains","#6B674A",2436,0.261
45,"Ursus maritimus",58.7692756137,-93.8019916762,2025-11-10,"inat",299,-4.61153846153843,3,8.95000000000005,10.85,1.89999999999998,"Boreal","Moist","Sparsely or Non vegetated","Plains","Boreal Moist",9,57,57,"Boreal Moist Sparsely or Non vegetated on Plains","#093939",2,0.1355
45,"Ursus maritimus",58.7612569645,-93.7899398804,2025-11-10,"inat",300,-4.57307692307688,3,9.05000000000001,10.95,1.90000000000003,"Boreal","Moist","Sparsely or Non vegetated","Plains","Boreal Moist",9,57,57,"Boreal Moist Sparsely or Non vegetated on Plains","#093939",7,0.1614
45,"Ursus maritimus",58.7460152328,-93.8969417534,2025-11-06,"inat",288,-4.52692307692308,2.5,9.25000000000006,11.2500000000001,2,"Boreal","Moist","Sparsely or Non vegetated","Plains","Boreal Moist",9,57,57,"Boreal Moist Sparsely or Non vegetated on Plains","#093939",9,0.2666
45,"Ursus maritimus",58.7418318719,-93.7427410404,2025-11-03,"inat",293,-4.53461538461534,3,9.25000000000006,11.05,1.79999999999995,"Boreal","Moist","Sparsely or Non vegetated","Plains","Boreal Moist",9,57,57,"Boreal Moist Sparsely or Non vegetated on Plains","#093939",10,0.2229
45,"Ursus maritimus",58.7644219594,-93.7501915742,2025-11-10,"inat",303,-4.59615384615381,3,8.95000000000005,10.7500000000001,1.80000000000001,"Boreal","Moist","Sparsely or Non vegetated","Plains","Boreal Moist",9,57,57,"Boreal Moist Sparsely or Non vegetated on Plains","#093939",7,0.254
50,"Ursus arctos horribilis",58.34642235,-122.71101272,2026-05-17,"inat",136,5.03461538461539,33.5,16.2500000000001,18.95,2.69999999999999,"Boreal","Moist","Forest","Hills","Boreal Moist",0,93,49,"Boreal Moist Forest on Hills","#005D31",564,0.6301
51,"Ursus arctos",52.90925,-117.789251,2026-05-21,"gbif",213,1.45769230769235,42.5,9.95000000000005,12.85,2.89999999999998,"Boreal","Moist","Sparsely or Non vegetated","Mountains","Boreal Moist",28,131,159,"Boreal Moist Sparsely or Non vegetated on Mountains","#1C839F",1984,0.3738
