"species","latitude","longitude","date_obs","source"
"Ursus arctos",49.649197,-120.102975,2026-01-16,"gbif"
"Ursus arctos",54.97372,-129.700012,2026-03-31,"gbif"
"Ursus arctos",51.634274,-114.406825,2026-04-04,"gbif"
"Ursus arctos",49.604384,-117.125791,2026-04-15,"gbif"
"Ursus arctos",53.741249,-122.211956,2026-04-18,"gbif"
"Ursus arctos",49.042144,-113.807994,2026-05-02,"gbif"
"Ursus arctos",50.379784,-125.944507,2026-05-09,"gbif"
"Ursus arctos",49.421116,-114.164816,2026-05-08,"gbif"
"Ursus arctos",51.217613,-116.064354,2026-05-04,"gbif"
"Ursus arctos",60.57861,-137.34,2026-05-04,"gbif"
"Ursus arctos",50.886372,-115.131827,2026-05-03,"gbif"
"Ursus arctos",50.667193,-115.953641,2026-05-12,"gbif"
"Ursus arctos",59.19042,-125.927978,2026-05-08,"gbif"
"Ursus arctos",49.178463,-114.167457,2026-05-15,"gbif"
"Ursus arctos",51.776116,-127.805975,2026-05-09,"gbif"
"Ursus arctos",61.058183,-138.422254,2026-05-15,"gbif"
"Ursus arctos",51.754299,-127.807972,2026-05-06,"gbif"
"Ursus arctos",51.294881,-115.880044,2026-05-11,"gbif"
"Ursus arctos",51.355946,-116.083588,2026-05-20,"gbif"
"Ursus arctos",51.023556,-115.982029,2026-05-17,"gbif"
"Ursus arctos",50.353523,-122.781375,2026-05-18,"gbif"
"Ursus arctos",51.280145,-117.420592,2026-05-18,"gbif"
"Ursus arctos",60.921508,-138.634117,2026-05-23,"gbif"
"Ursus arctos",61.123154,-138.457603,2026-05-15,"gbif"
"Ursus arctos",51.3022,-117.518295,2026-05-17,"gbif"
"Ursus arctos",61.032092,-138.457421,2026-05-15,"gbif"
"Ursus arctos",51.375048,-117.470435,2026-05-25,"gbif"
"Ursus arctos",61.330497,-138.655742,2026-05-15,"gbif"
"Ursus arctos",51.080438,-115.486845,2026-05-04,"gbif"
"Ursus arctos",54.752125,-127.253983,2026-05-23,"gbif"
"Ursus arctos",50.849707,-115.398535,2026-05-07,"gbif"
"Ursus arctos",52.90925,-117.789251,2026-05-21,"gbif"
"Ursus arctos",49.710151,-118.746121,2026-05-22,"gbif"
"Ursus arctos",62.108632,-136.07715,2026-05-24,"gbif"
"Ursus arctos",50.032723,-123.180483,2026-05-31,"gbif"
"Ursus arctos",50.927063,-116.006186,2026-05-30,"gbif"
"Ursus arctos",52.933467,-118.178586,2026-05-25,"gbif"
"Ursus arctos",58.375823,-122.713761,2026-05-30,"gbif"
"Ursus arctos",50.599068,-114.608107,2026-05-31,"gbif"
"Ursus arctos",52.938671,-118.041177,2025-01-25,"gbif"
"Ursus arctos",50.651836,-114.429997,2025-04-13,"gbif"
"Ursus arctos",56.337554,-129.332651,2025-04-22,"gbif"
"Ursus arctos",60.76463,-135.159203,2025-04-26,"gbif"
"Ursus arctos",52.43828,-126.21892,2025-04-29,"gbif"
"Ursus arctos",52.439062,-125.870763,2025-04-30,"gbif"
"Ursus arctos",49.349084,-114.376348,2025-04-30,"gbif"
"Ursus arctos",63.938217,-139.675246,2025-04-08,"gbif"
"Ursus arctos",50.269823,-116.973615,2025-04-24,"gbif"
"Ursus arctos",50.27153,-116.972582,2025-04-24,"gbif"
"Ursus arctos",50.671423,-117.621363,2025-05-09,"gbif"
"Ursus arctos",53.926668,-123.054234,2025-05-03,"gbif"
"Ursus arctos",50.674778,-117.630977,2025-05-09,"gbif"
"Ursus arctos",51.307867,-116.127846,2025-05-19,"gbif"
"Ursus arctos",50.236462,-116.963991,2025-05-24,"gbif"
"Ursus arctos",54.5382,-118.670614,2025-05-19,"gbif"
"Ursus arctos",51.242958,-116.653293,2025-05-15,"gbif"
"Ursus arctos",59.731953,-133.756042,2025-05-07,"gbif"
"Ursus arctos",51.433007,-116.360551,2025-05-15,"gbif"
"Ursus arctos",51.267899,-117.535613,2025-05-22,"gbif"
"Ursus arctos",52.936266,-118.132172,2025-05-18,"gbif"
"Ursus arctos",61.791838,-139.630665,2025-05-18,"gbif"
"Ursus arctos",51.587476,-116.118228,2025-05-22,"gbif"
"Ursus arctos",60.297024,-134.253413,2025-05-18,"gbif"
"Ursus arctos",59.190333,-125.9282,2025-05-02,"gbif"
"Ursus arctos",52.867186,-118.02673,2025-05-25,"gbif"
"Ursus arctos",51.287345,-117.51383,2025-05-22,"gbif"
"Ursus arctos",64.308084,-138.242461,2025-05-24,"gbif"
"Ursus arctos",59.210533,-125.951561,2025-05-30,"gbif"
"Ursus arctos",50.666042,-117.598347,2025-05-09,"gbif"
"Ursus arctos",50.893525,-122.875892,2025-05-30,"gbif"
"Ursus arctos",50.64437,-117.839217,2025-05-21,"gbif"
"Ursus arctos",52.948575,-118.149282,2025-05-18,"gbif"
"Ursus arctos",52.892579,-117.915862,2025-05-30,"gbif"
"Ursus arctos",52.079846,-116.736952,2025-05-31,"gbif"
"Ursus arctos",51.707305,-124.488887,2025-05-28,"gbif"
"Ursus arctos",51.254954,-116.087928,2025-05-26,"gbif"
"Ursus arctos",50.631268,-115.193331,2025-05-23,"gbif"
"Ursus arctos",60.942739,-135.324639,2025-05-12,"gbif"
"Ursus arctos",52.906284,-117.750744,2025-05-28,"gbif"
"Ursus arctos",52.866429,-117.662,2025-05-28,"gbif"
"Ursus arctos",52.983153,-117.687403,2025-05-28,"gbif"
"Ursus arctos",60.738666,-135.941173,2025-05-03,"gbif"
"Ursus arctos",52.964317,-118.046912,2025-05-28,"gbif"
"Ursus arctos",54.749717,-127.269225,2025-05-25,"gbif"
"Ursus arctos",50.63737,-116.026795,2025-05-26,"gbif"
"Ursus arctos",51.590193,-116.107071,2025-05-18,"gbif"
"Ursus arctos",51.524556,-116.058871,2025-05-18,"gbif"
"Ursus arctos",53.804392,-123.059611,2025-05-03,"gbif"
"Ursus arctos",50.686216,-115.182644,2025-05-21,"gbif"
"Ursus arctos",52.210716,-117.379645,2025-05-10,"gbif"
"Ursus arctos horribilis",60.9742341396,-138.4451733251,2026-06-09,"inat"
"Ursus arctos",50.7273337133,-115.3764164609,2026-06-12,"inat"
"Ursus maritimus",72.0599456562,-94.7516800429,2024-08-20,"inat"
"Ursus arctos horribilis",51.3122945337,-116.0098969264,2026-06-12,"inat"
"Ursus arctos horribilis",50.6993500284,-125.7300392508,2026-06-11,"inat"
"Ursus arctos",49.382195,-123.0785361667,2025-10-12,"inat"
"Ursus arctos",49.3824116667,-123.0786888333,2025-10-12,"inat"
"Ursus arctos",49.3824083333,-123.0786888333,2025-10-12,"inat"
"Ursus arctos horribilis",52.6019541676,-117.8019440143,2026-05-27,"inat"
"Ursus arctos",50.0604138333,-114.9114216667,2026-06-11,"inat"
"Ursus arctos horribilis",53.736758732,-118.3802845844,2025-07-25,"inat"
"Ursus arctos",52.4065666667,-126.1272583333,2026-06-11,"inat"
"Ursus arctos horribilis",53.042434311,-117.2039550187,2025-08-14,"inat"
"Ursus arctos horribilis",52.8092793558,-118.1434052947,2026-06-09,"inat"
"Ursus arctos horribilis",52.8666231299,-118.0796216009,2026-06-10,"inat"
"Ursus arctos horribilis",52.2828462461,-117.3594878904,2026-06-10,"inat"
"Ursus arctos horribilis",52.1053000874,-116.8816734704,2026-06-07,"inat"
"Ursus arctos horribilis",50.9782346241,-115.238896122,2026-06-07,"inat"
"Ursus arctos horribilis",50.8231985824,-115.2147679536,2026-06-07,"inat"
"Ursus arctos horribilis",50.8493944925,-115.0030793924,2026-06-09,"inat"
"Ursus maritimus",58.76317,-93.8975666667,2026-06-09,"inat"
"Ursus arctos horribilis",53.1103170312,-117.3428226759,2026-06-08,"inat"
"Ursus arctos horribilis",52.8097108739,-118.1692679437,2026-06-08,"inat"
"Ursus arctos horribilis",50.9070039378,-122.7410691733,2026-06-08,"inat"
"Ursus arctos",49.3824083333,-123.0786888333,2025-10-12,"inat"
"Ursus arctos",54.6341888889,-130.0152444444,2026-06-05,"inat"
"Ursus arctos",54.6179777778,-129.9114694444,2026-06-04,"inat"
"Ursus arctos",54.6360972222,-130.057525,2026-06-04,"inat"
"Ursus arctos horribilis",49.0507912516,-114.10310887,2026-06-08,"inat"
"Ursus arctos",61.1036053625,-136.8047295461,2026-06-07,"inat"
"Ursus arctos",50.8364568846,-114.7346817172,2020-07-01,"inat"
"Ursus arctos horribilis",54.5266444288,-119.5067766617,2026-06-07,"inat"
"Ursus arctos",49.1572970041,-113.8989828843,2026-06-07,"inat"
"Ursus arctos",50.813088178,-114.7740497301,2026-06-05,"inat"
"Ursus arctos horribilis",49.3828198,-123.079293,2026-05-29,"inat"
"Ursus arctos",50.851569649,-115.3671613669,2026-05-17,"inat"
"Ursus arctos horribilis",52.8237377087,-118.0356161169,2026-06-03,"inat"
"Ursus arctos horribilis",51.100178974,-115.4065680918,2026-04-03,"inat"
"Ursus arctos",50.6788366667,-125.7895883333,2026-06-05,"inat"
"Ursus arctos",50.67995,-125.7358166667,2026-06-05,"inat"
"Ursus arctos horribilis",54.9743071997,-122.9906677997,2024-07-10,"inat"
"Ursus arctos horribilis",54.9743175997,-122.9906804,2024-07-10,"inat"
"Ursus arctos horribilis",51.2121170331,-120.2240785799,2026-06-04,"inat"
"Ursus arctos horribilis",54.7974907997,-127.5253246,2026-06-01,"inat"
"Ursus arctos",49.1878074205,-120.9589824826,2026-06-02,"inat"
"Ursus arctos horribilis",58.34642235,-122.71101272,2026-05-17,"inat"
"Ursus arctos horribilis",52.9353384189,-118.1135498676,2026-06-02,"inat"
"Ursus arctos horribilis",53.1417220044,-117.444843478,2026-05-28,"inat"
"Ursus arctos",51.054000906,-115.7583971471,2025-08-12,"inat"
"Ursus arctos horribilis",51.5509326017,-116.2161208108,1990-06-24,"inat"
"Ursus arctos horribilis",51.2281010271,-115.9767857969,2026-06-01,"inat"
"Ursus arctos",49.38212,-123.0789805,2024-08-06,"inat"
"Ursus arctos",50.5990684904,-114.6081072923,2026-05-31,"inat"
"Ursus arctos horribilis",50.0327229271,-123.1804834264,2026-05-31,"inat"
"Ursus arctos horribilis",50.9270633333,-116.0061861167,2026-05-30,"inat"
"Ursus arctos horribilis",58.3758231197,-122.7137605249,2026-05-30,"inat"
"Ursus arctos horribilis",62.108631584,-136.0771499215,2026-05-24,"inat"
"Ursus arctos horribilis",59.291992,-125.942482,2026-05-20,"inat"
"Ursus arctos horribilis",49.3854624707,-123.0762275829,2026-05-28,"inat"
"Ursus arctos horribilis",52.9334669421,-118.1785859951,2026-05-25,"inat"
"Ursus arctos horribilis",54.6490029,-129.763841,2026-05-24,"inat"
"Ursus arctos horribilis",51.3750475086,-117.4704349482,2026-05-25,"inat"
"Ursus arctos horribilis",50.0681149246,-123.1085210929,2022-05-24,"inat"
"Ursus arctos horribilis",51.0804380787,-115.486845111,2026-05-04,"inat"
"Ursus arctos horribilis",50.8497066583,-115.3985350308,2026-05-07,"inat"
"Ursus arctos",60.9215076278,-138.6341172781,2026-05-23,"inat"
"Ursus arctos horribilis",54.752125,-127.2539833333,2026-05-23,"inat"
"Ursus arctos horribilis",49.7101513276,-118.7461212957,2026-05-22,"inat"
"Ursus arctos",64.4933979796,-138.217088885,2025-06-09,"inat"
"Ursus maritimus",43.8235015869,-79.1851806641,2026-05-22,"inat"
"Ursus maritimus",43.8232078552,-79.1861343384,2026-05-22,"inat"
"Ursus arctos sitkensis",50.6832289268,-125.7230673032,2021-07-29,"inat"
"Ursus arctos horribilis",52.9092503925,-117.7892506318,2026-05-21,"inat"
"Ursus arctos horribilis",51.3559461051,-116.0835882958,2026-05-20,"inat"
"Ursus arctos horribilis",51.0235561259,-115.9820285202,2026-05-17,"inat"
"Ursus arctos",49.3820119137,-123.0785953067,NA,"inat"
"Ursus arctos",60.2936188458,-136.0608653634,2026-05-19,"inat"
"Ursus arctos",49.3801396,-123.081458,2008-06-19,"inat"
"Ursus arctos horribilis",61.3304965222,-138.6557421431,2026-05-15,"inat"
"Ursus arctos horribilis",61.0320921054,-138.4574214966,2026-05-15,"inat"
"Ursus arctos horribilis",61.12315431,-138.4576034881,2026-05-15,"inat"
"Ursus arctos horribilis",49.2972666667,-117.8338972222,2017-05-22,"inat"
"Ursus arctos horribilis",51.3022,-117.518295,2026-05-17,"inat"
"Ursus arctos",56.1001333333,-129.3062133333,2026-05-19,"inat"
"Ursus arctos horribilis",50.6729090657,-125.7397634631,2025-08-03,"inat"
"Ursus arctos horribilis",51.2801446877,-117.4205916477,2026-05-18,"inat"
"Ursus arctos horribilis",69.2828135601,-139.7906158315,2023-07-22,"inat"
"Ursus arctos horribilis",50.9006407177,-115.822374542,2025-10-09,"inat"
"Ursus arctos horribilis",61.4190978851,-139.0181229663,2026-05-16,"inat"
"Ursus arctos horribilis",43.8180583333,-79.1933366667,2026-05-17,"inat"
"Ursus maritimus",58.7644748896,-93.9371428639,2024-10-14,"inat"
